Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-11-01T22:59:58.000Z,6341.0948126498,6322.0936278344,6376.6562270431,6296.5893373346
BTC,2018-11-02T22:59:59.000Z,6360.1412719216,6340.400655742,6409.156465813,6336.6497508795
BTC,2018-11-03T22:59:59.000Z,6344.7389429436,6360.7198120431,6371.2379695068,6292.1518123473
BTC,2018-11-04T22:59:58.000Z,6405.1397546807,6344.7389429933,6473.7784382572,6318.6276218102
BTC,2018-11-05T22:59:58.000Z,6396.3521235412,6405.1403309472,6440.957227671,6374.6988897195
BTC,2018-11-06T22:59:59.000Z,6425.9178018185,6404.3771748271,6449.9987451721,6377.5427753267
BTC,2018-11-07T23:00:00.000Z,6514.4894527375,6426.6552217602,6553.951931748,6424.6586263377
BTC,2018-11-08T22:59:59.000Z,6412.524289058,6518.3360881926,6530.7336614239,6400.9365464531
BTC,2018-11-09T22:59:59.000Z,6343.6325037562,6412.5239995551,6433.2531853235,6309.6526526156
BTC,2018-11-10T23:00:00.000Z,6365.655231516,6338.7818947324,6396.877363663,6335.2180512633
BTC,2018-11-11T22:59:59.000Z,6327.4806461044,6360.005433977,6380.8134341094,6292.7218466615
BTC,2018-11-12T23:00:00.000Z,6327.1546960646,6370.273273137,6391.766567815,6305.0102709434
BTC,2018-11-13T22:59:59.000Z,6282.4386771629,6327.1546966981,6331.4876341914,6245.2381744164
BTC,2018-11-14T22:59:58.000Z,5524.8010934193,6281.6044107763,6295.9538659491,5390.1166299792
BTC,2018-11-15T22:59:59.000Z,5511.1528335321,5524.764808932,5692.0689524537,5244.6942670896
BTC,2018-11-16T23:00:00.000Z,5448.6006335653,5573.0171532108,5608.7225883851,5423.0504044658
BTC,2018-11-17T22:59:59.000Z,5497.4112787322,5513.4238604307,5564.0289679111,5466.5005898062
BTC,2018-11-18T23:00:00.000Z,5553.014895008,5497.3677842212,5638.9769731761,5495.6778216834
BTC,2018-11-19T23:00:00.000Z,4800.3428974568,5553.014746716,5610.1495510444,4708.8642554494
BTC,2018-11-20T22:59:59.000Z,4246.3127740611,4744.6198406513,4888.6227118272,4076.5947165121
BTC,2018-11-21T22:59:59.000Z,4478.2995582941,4364.7415489787,4631.902484782,4250.1650634179
BTC,2018-11-22T23:00:00.000Z,4405.7440313629,4476.2272441122,4591.8791150933,4354.5686489715
BTC,2018-11-23T22:59:59.000Z,4329.9172203207,4405.744487254,4405.7445849197,4119.999690568
BTC,2018-11-24T22:59:59.000Z,3728.8726484882,4329.9254247354,4378.5098917473,3668.6139696012
BTC,2018-11-25T22:59:59.000Z,3951.20502915,3788.2890885374,4101.9993874026,3447.5760411337
BTC,2018-11-26T22:59:58.000Z,3640.5571648024,3951.2115204756,4064.7482167097,3530.7216456852
